Distance,Data/CP17/4MHA_split.rels Accum. Recall,TP,FN,Data/CP17/TEES_split.rels Accum. Recall,TP,FN

1,0.00,0,5,0.00,0,5
2,0.37,69,119,0.35,66,122
3,0.35,151,280,0.32,137,294
4,0.35,227,428,0.29,191,464
5,0.32,290,611,0.27,242,659
6,0.32,363,788,0.26,303,848
7,0.30,421,970,0.25,352,1039
8,0.30,487,1157,0.24,397,1247
9,0.29,538,1337,0.24,441,1434
10,0.28,583,1491,0.23,473,1601
11,0.28,633,1639,0.23,515,1757
12,0.27,666,1767,0.22,540,1893
13,0.27,706,1908,0.22,571,2043
14,0.27,733,2028,0.21,592,2169
15,0.27,770,2126,0.21,621,2275
16,0.26,788,2235,0.21,634,2389
17,0.26,810,2336,0.21,649,2497
18,0.26,828,2416,0.20,660,2584
19,0.25,846,2497,0.20,672,2671
20,0.25,860,2558,0.20,681,2737
21,0.25,871,2625,0.20,691,2805
22,0.25,884,2677,0.20,700,2861
23,0.25,891,2717,0.20,705,2903
24,0.24,897,2766,0.19,708,2955
25,0.24,904,2800,0.19,713,2991
26,0.24,912,2835,0.19,719,3028
27,0.24,913,2862,0.19,720,3055
28,0.24,918,2891,0.19,722,3087
29,0.24,920,2915,0.19,724,3111
30,0.24,923,2944,0.19,726,3141
31,0.24,924,2957,0.19,726,3155
32,0.24,924,2981,0.19,726,3179
33,0.24,926,2996,0.19,727,3195
34,0.24,928,3010,0.18,728,3210
35,0.24,931,3023,0.18,731,3223
36,0.23,931,3036,0.18,731,3236
37,0.23,932,3045,0.18,732,3245
38,0.23,932,3052,0.18,732,3252
39,0.23,933,3059,0.18,732,3260
40,0.23,933,3066,0.18,732,3267
41,0.23,934,3075,0.18,732,3277
42,0.23,934,3080,0.18,733,3281
43,0.23,934,3087,0.18,733,3288
44,0.23,935,3090,0.18,734,3291
45,0.23,935,3097,0.18,734,3298
46,0.23,935,3102,0.18,734,3303
47,0.23,935,3108,0.18,734,3309
48,0.23,935,3114,0.18,734,3315
49,0.23,936,3115,0.18,734,3317
50,0.23,936,3117,0.18,734,3319
51,0.23,936,3120,0.18,734,3322
52,0.23,936,3121,0.18,734,3323
53,0.23,936,3123,0.18,734,3325
54,0.23,936,3124,0.18,734,3326
55,0.23,936,3127,0.18,734,3329
57,0.23,937,3129,0.18,734,3332
59,0.23,937,3131,0.18,734,3334
64,0.23,937,3132,0.18,734,3335
66,0.23,937,3133,0.18,734,3336
133,0.23,937,3134,0.18,734,3337
137,0.23,937,3135,0.18,734,3338
