Distance	Data/CP17/4MHA_split.rels Precision	TP	FP	Data/CP17/TEES_split.rels Precision	TP	FP
0-4	0.37	225	381	0.36	190	334
5-9	0.33	310	632	0.32	250	534
10-14	0.30	194	460	0.28	149	391
15-19	0.28	113	288	0.26	80	227
20-24	0.24	51	158	0.20	36	144
25-29	0.21	23	85	0.17	16	76
30-34	0.16	8	42	0.10	4	38
35-39	0.20	5	20	0.17	4	19
40-44	0.20	2	8	0.22	2	7
45-49	0.08	1	11	0.00	0	10
50-54	0.00	0	4	0.00	0	2
55-59	0.25	1	3	0.00	0	2
60-64	0.00	0	4	0.00	0	4
